Algorithm,CoverType,KDD99,Sensor,Insects,EDS,ODS
G1,66,452,1392,100,586,205
G2,66,452,1392,100,586,205
G3,66,452,1392,100,586,205
G4,4,125,44,16,47,216
G5,1867,533,1273,47,647,289
G6,0,0,0,0,0,0
G7,36,21,1253,16,106,152
G8,23,389,262,118,351,210
G9,230,176,1835,279,3060,133
G10,1497,1302,207,307,843,907
