algo,workload,run_offline,purity,qps
StreamKMeans,CoverType,0,0.489109,23966
StreamKMeans,CoverType,1,0.489109,24154.3
StreamKMeans,KDD99,0,0.598914,30318
StreamKMeans,KDD99,1,0.598914,30294.2
StreamKMeans,sensor,0,0.0693233,76896.1
StreamKMeans,sensor,1,0.0693233,76847.7
StreamKMeans,INSECTS,0,0.478671,20728.5
StreamKMeans,INSECTS,1,0.488874,20851
DenStream,CoverType,0,0.487599,9355.23
DenStream,CoverType,1,0.48822,10002.53
DenStream,KDD99,0,0.568377,15118.5
DenStream,KDD99,1,0.568377,15243.7
DenStream,sensor,0,0.0295923,44048
DenStream,sensor,1,0.0295923,45021
DenStream,INSECTS,0,0.188058,696577
DenStream,INSECTS,1,0.188058,696322
