Algorithm,CoverType,KDD99,Sensor,Insects,EDS,ODS
G1,4,2,7,2,2,2
G2,4,2,7,2,2,2
G3,4,2,7,2,2,2
G4,1,1,1,2,1,1
G5,5,2,21,2,4,2
G6,6,16,35,9,10,5
G7,2,13,19,2,10,5
G8,221,98,996,4546,1929,790
G9,48,1,7,62,7,3
G10,18,50,1,185,6,170
