Algorithm,CoverType,KDD99,Sensor,Insects,EDS,ODS
G1,0,0,0,0,0,0
G2,0,0,0,0,0,0
G3,0,0,0,0,0,0
G4,0,0,0,0,0,0
G5,0,0,0,0,0,0
G6,0,0,0,0,0,0
G7,484,453,106,411,653,10300
G8,0,0,0,0,0,0
G9,NULL,NULL,NULL,NULL,NULL,NULL
G10,NULL,NULL,NULL,NULL,NULL,NULL
G11,0,0,0,0,0,0
G12,227,576,132,1,26,26274
G13,1611,401,28,0,0,5380
G14,0,0,0,0,0,0
G15,0,0,0,0,0,0
