algo,sliding,purity,qps
G4,50000,0.554734,37241.1
G4,100000,0.555033,25493.9
G4,150000,0.568906,21060.1
G4,200000,0.575143,19247.9
G4,250000,0.582854,17272.3
G4,300000,0.578344,16925.2
G4,350000,0.593836,16517.9
G4,400000,0.596053,16421.4
G4,450000,0.594903,16202.4
G4,500000,0.596334,15994.7
