Algorithm,1,2,3
Birch,152517,150531,149253
StreamKMeans,84953.1,85389.4,85426.9
CluStream,7814.71,7920.09,8042.77
DenStream,420090,420782,419300
DBStream,381398,342717,322938
EDMStream,14971.1,15271.5,15267
DStream,53230,43918.5,36725.8
SLKMeans,34315.1,34900.1,35652.6
G1,200512,186324,177643
G2,201491,186938,176612
G3,342120,319287,297113
G4,1143210,1228110,1161910
G5,229097,232050,230834
G6,261643,229482,210924
G7,302974,288238,270888
G8,742204,801222,774321
G9,1081930,1126600,1133290
G10,67754.4,61732.5,56438.9
G11,252618,225401,205457
G12,191362,177189,166752
G13,155542,141250,128618
G14,49762.8,51417.2,52855
G15,75926.1,74736.9,73887.9
