Algorithm,1,2,3
G16,951929,955295,997504
BenneEff,823042,717394,774262
EDMStream,14127,14536.1,14629.2
DStream,48603.7,40860.2,34288.6
DenStream,381301,385462,352430
Birch,145450,143143,148303
CluStream,7963.2,8170.56,8220.67
BenneAcc,20234.4,18611.8,17732.3
StreamKMeans,124963,131248,126652
SLKMeans,31585.7,32320.3,33754.4
BenneAccNoMig,20869.6,19205.2,17972.9
DBStream,323706,349696,302415
